variable,2.5%,25%,50%,75%,97.5%,rhat,ess_bulk,ess_tail,cohort,age,year,S
"S4[94,7]",2.992104e-6,7.910095e-6,1.2239e-5,1.842565e-5,3.69624475e-5,1.000880860403204,5432.948727225172,5325.499754988544,1994,6,2000,S4
"S4[95,7]",1.68641925e-6,4.77456e-6,7.829265e-6,1.1888325000000001e-5,2.4896497499999977e-5,1.0001450406134464,5424.083733364064,5441.439681623335,1995,6,2001,S4
"S4[96,7]",7.297317e-7,2.0423175000000003e-6,3.1838699999999997e-6,4.798902499999999e-6,9.951408499999998e-6,1.0002393423320723,5495.53690362064,5594.757608188049,1996,6,2002,S4
"S4[97,7]",3.508238e-7,8.84563e-7,1.383035e-6,2.0902924999999996e-6,4.234727999999999e-6,1.0003784163374287,5485.565229234029,5424.84361110244,1997,6,2003,S4
"S4[98,7]",3.29809575e-7,8.5685525e-7,1.29228e-6,1.8787e-6,3.6547767499999994e-6,0.9996197507855457,5341.624960808319,5589.498512753469,1998,6,2004,S4
"S4[99,7]",5.69806475e-7,1.3940025e-6,2.06263e-6,2.9529025000000003e-6,5.796008e-6,1.0004804031901493,5510.766614406734,5592.222775483604,1999,6,2005,S4
"S4[100,7]",5.248431999999999e-7,1.2900825000000002e-6,1.85722e-6,2.6054825e-6,4.563526999999996e-6,1.0005192284581845,5625.2727140698325,5510.27834374613,2000,6,2006,S4
"S4[101,7]",1.2527240000000001e-6,3.207075e-6,4.582529999999999e-6,6.4332325e-6,1.1199414999999994e-5,1.000491917193904,5629.990867707459,5436.764803075638,2001,6,2007,S4
"S4[102,7]",6.014811249999999e-7,1.5288700000000001e-6,2.22297e-6,3.0890275000000002e-6,5.396859749999999e-6,1.0002655346281062,5541.398194141726,5513.317356707362,2002,6,2008,S4
"S4[103,7]",2.07459925e-6,3.96618e-6,5.5208699999999995e-6,7.589245e-6,1.3269282499999994e-5,1.0006060415883846,5405.229903217827,5423.974684071302,2003,6,2009,S4
"S4[104,7]",4.96696625e-6,8.9003225e-6,1.19507e-5,1.596845e-5,2.6788562499999997e-5,0.9996869555875686,5212.519734285437,5734.142289004716,2004,6,2010,S4
"S4[105,7]",6.3598535e-6,1.23701e-5,1.702255e-5,2.3148699999999997e-5,4.027385749999999e-5,0.9997790566529975,5047.54808821574,5291.127809443734,2005,6,2011,S4
"S4[106,7]",3.3317995000000003e-6,7.1691125e-6,1.03955e-5,1.4608275e-5,2.6978134999999987e-5,0.9998186402650717,5279.080875341965,5538.515927241902,2006,6,2012,S4
"S4[107,7]",2.68993375e-6,7.7774575e-6,1.24903e-5,1.8973925e-5,3.818082249999996e-5,1.000510622260654,5119.390673833234,5227.222829013232,2007,6,2013,S4
"S4[108,7]",2.8695397499999998e-6,7.6780575e-6,1.1725450000000001e-5,1.7195349999999998e-5,3.3314672499999976e-5,1.0001994134691143,5241.765061024605,5271.861442746661,2008,6,2014,S4
"S4[93,8]",5.4294175000000004e-6,1.5265924999999997e-5,2.343815e-5,3.530845e-5,6.998856749999999e-5,1.001090924467941,5401.991912693145,5607.935466422931,1993,7,2000,S4
"S4[94,8]",5.1084805e-6,1.2424e-5,1.87745e-5,2.7524775000000003e-5,5.252809999999997e-5,1.0007131048814109,5382.775711411301,5320.213880027175,1994,7,2001,S4
"S4[95,8]",2.5199724999999998e-6,6.570295000000001e-6,1.03354e-5,1.5211525e-5,3.0906532499999985e-5,1.0000426286339135,5440.267304420362,5421.924738237968,1995,7,2002,S4
"S4[96,8]",1.3346552499999998e-6,3.1079099999999998e-6,4.586875e-6,6.6728425e-6,1.2891482499999994e-5,1.0002432887612407,5532.817730440417,5346.759626080131,1996,7,2003,S4
"S4[97,8]",9.003434e-7,2.0669725e-6,2.98646e-6,4.1997525e-6,7.706662499999994e-6,1.0005323891156772,5349.860677462111,5722.631603162737,1997,7,2004,S4
"S4[98,8]",1.92308575e-6,4.0064625e-6,5.68453e-6,7.815472499999998e-6,1.4358842499999973e-5,1.0003304845176915,5406.73009443874,5678.302038437192,1998,7,2005,S4
"S4[99,8]",1.43103075e-6,3.2283675e-6,4.58741e-6,6.4029274999999995e-6,1.1469807499999999e-5,1.0008289071259293,5219.453389387138,5483.104436180451,1999,7,2006,S4
"S4[100,8]",1.355899e-6,3.3612225e-6,4.793245e-6,6.701375e-6,1.1658014999999995e-5,1.0004588757213744,5636.8129611692775,5521.9593873442345,2000,7,2007,S4
