state,year,age,numpop
35,2056,3,487569
35,2057,3,484542
35,2058,3,481288
35,2059,3,477925
35,2060,3,474634
35,2010,4,602861
35,2011,4,591218
35,2012,4,590478
35,2013,4,592428
35,2014,4,592192
35,2015,4,598261
35,2016,4,605722
35,2017,4,606052
35,2018,4,610469
35,2019,4,624448
35,2020,4,614644
35,2021,4,604950
35,2022,4,610252
35,2023,4,606640
35,2024,4,602684
35,2025,4,598341
35,2026,4,593359
35,2027,4,587810
35,2028,4,582188
35,2029,4,576705
35,2030,4,571387
35,2031,4,566223
35,2032,4,561243
35,2033,4,556498
35,2034,4,552117
35,2035,4,547965
35,2036,4,543918
35,2037,4,540132
35,2038,4,536614
35,2039,4,533340
35,2040,4,530153
35,2041,4,527009
35,2042,4,524116
35,2043,4,521384
35,2044,4,518738
35,2045,4,516160
35,2046,4,513801
35,2047,4,511710
35,2048,4,509632
35,2049,4,507467
35,2050,4,505241
35,2051,4,503064
35,2052,4,500921
35,2053,4,498646
35,2054,4,496084
35,2055,4,493354
35,2056,4,490609
35,2057,4,487755
35,2058,4,484731
35,2059,4,481477
35,2060,4,478115
35,2010,5,613556
35,2011,5,602789
35,2012,5,591157
35,2013,5,590419
35,2014,5,592373
35,2015,5,592140
35,2016,5,598212
35,2017,5,605675
35,2018,5,606006
35,2019,5,610426
35,2020,5,624403
35,2021,5,614607
35,2022,5,604915
35,2023,5,610215
35,2024,5,606608
35,2025,5,602654
35,2026,5,598312
35,2027,5,593332
